region,2001,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Anhui,296,658,903,1274,1602,2729,4465,6396,10982,19391,34857,49960,68314,95963,93527,108782,62743,69663,64106,65368,67093,65961
Beijing,4984,8608,12102,14226,18763,28394,29326,33466,45057,52720,67554,78129,88930,104643,99167,117664,129930,145035,167608,189198,205179,210052
Chongqing,262,562,918,1204,1601,1997,3845,5150,8839,11402,12562,19418,35086,19981,19297,22686,20103,22273,24068,28907,30517,32663
Fujian,361,850,1202,1437,2170,2701,3842,5117,6896,8492,9884,12529,17663,27041,26456,37252,30019,32929,31093,30581,33730,37756
Gansu,256,334,712,550,600,952,1120,1412,2105,3265,3735,4986,5504,6114,5785,6035,6056,5684,6423,7005,7052,9215
Guangdong,2549,8093,12887,21351,26692,28099,32247,40866,52012,60448,68990,75147,103941,155581,182639,216469,203311,215926,242551,236957,240223,259373
Guangxi,275,495,641,679,945,1086,1280,1574,2757,6511,14382,22237,30815,43078,37976,20302,12412,12854,13693,13611,12471,14341
Guizhou,178,450,782,923,874,873,1336,1322,2358,3103,3988,8203,7538,10953,13885,14992,10770,10693,9869,10732,11954,12230
Hainan,89,137,176,246,278,331,456,572,732,865,921,969,1211,1278,1627,2127,2183,2618,4497,4402,4681,5873
Hebei,651,979,1273,1597,2094,2380,2811,3270,4651,6108,7329,8332,11259,14141,13982,18954,20536,22131,23923,24182,28929,29885
Heilongjiang,711,1325,1598,1911,2386,3047,3384,4070,5063,7068,10338,13468,14663,13177,10607,12017,13125,13163,15018,14770,14726,16248
Henan,744,1213,1703,2404,2875,4954,4952,6408,8833,10910,15580,19646,21338,28582,35625,46868,30260,32609,34950,33183,30637,32064
Hubei,1086,1674,2038,2827,3705,4616,6065,7411,10327,14640,18189,22536,30204,43789,51569,50664,47450,47767,51690,55207,59068,65626
Hunan,906,1734,2594,3578,3670,5335,4416,6438,8774,9974,11938,14474,19499,25524,31365,35414,39104,48530,36746,35851,35007,38671
Inner Mongolia,185,286,307,430,565,695,719,932,1267,1492,1935,1924,2254,2878,2845,3757,4889,5381,5998,6676,8248,11625
Jiangsu,1394,4423,6582,10214,16578,22601,31779,50298,84678,110091,141259,146660,154608,184632,187005,198801,172409,177995,188241,194983,191877,229685
Jiangxi,273,663,713,823,1012,1016,1502,1968,2796,3023,3931,4688,5722,8202,11507,14519,14101,20285,19171,20625,20186,21702
Jilin,639,1048,1290,1335,1635,1895,2166,2789,3334,3913,4549,5288,6154,7537,7780,10530,11269,11113,12680,15518,17576,21148
Liaoning,1408,2907,3267,4368,5516,6493,7125,9884,14658,19740,25292,18417,19332,25561,20500,25476,22592,21830,23078,23080,25496,27554
Ningxia,98,89,106,172,112,160,182,268,442,846,1792,2183,2626,2510,2561,2999,2525,2574,3054,3358,3518,4417
Qinghai,44,49,103,79,91,148,175,193,204,298,520,660,1103,1381,949,1287,1232,1417,1585,1459,1790,2109
Shaanxi,476,1099,1693,1815,2412,3775,5858,8138,13037,17043,26487,24399,17322,22565,46607,30888,34812,38262,38643,38569,41729,48686
Shandong,1373,3230,4801,7237,8795,13714,13983,17259,25623,40381,67642,77298,93475,88359,67772,72764,69350,74420,82481,88744,96906,110207
Shanghai,3268,6737,10441,12050,15212,17831,22012,26165,32142,37139,39157,39133,46976,54339,54630,62755,71398,81042,92527,89448,97066,100217
Shanxi,350,571,610,965,1212,2053,2422,3046,4602,5417,6025,6107,5680,8208,7379,9395,8424,9472,10059,9891,11387,13598
Sichuan,926,1638,2256,2930,3406,4098,6260,8342,11808,16368,23510,29926,40437,54277,64642,53805,39539,41417,45358,48283,53454,58261
Tianjin,784,4013,4470,4981,5364,6281,6367,7347,10623,13587,21946,23391,28510,38153,25652,26661,24574,22057,21370,21466,24263,27037
Xinjiang,189,272,320,381,476,482,662,914,1273,1679,2081,2360,3024,3598,3207,3665,3544,3776,4395,4951,5484,7312
Xizang,8,20,12,21,23,39,71,76,101,81,92,92,128,176,273,453,456,477,515,585,625,836
Yunnan,344,740,776,1005,1014,1474,1637,2333,2796,3324,3961,4732,6301,7907,7801,9606,8996,9753,10293,12036,12493,14231
Zhejiang,1093,3578,6776,8333,9532,12063,15646,18027,24745,33265,42744,52406,67674,93254,98975,143081,112981,129708,129821,122807,117996,132051
