date,sentiment_score,article_count,language
2025-08-27,-0.8442087173461914,1,English
2025-08-30,-0.9495778679847716,1,English
2025-09-10,-0.9423425197601318,1,English
2025-09-17,0.0,1,English
2025-09-23,0.0,1,English
2025-09-27,0.944301187992096,1,English
2025-10-04,0.8450037837028503,1,English
2025-10-13,0.9568681716918944,1,English
2025-10-14,0.9381394982337952,1,English
2025-10-18,0.9441251754760742,1,English
2025-10-19,-0.7981115579605103,1,English
2025-11-01,0.0,1,English
2025-11-10,-0.012644678354263306,2,English
2025-11-22,0.8611272871494293,2,English
2025-11-24,0.8763225078582764,1,English
2025-12-01,-0.06702283024787908,2,English
2025-12-03,0.9120429158210754,1,English
2025-12-06,0.13773852586746219,6,English
2025-12-07,0.2970297402805752,9,English
2025-12-08,0.3171955466270447,5,English
2025-12-09,0.6685835719108582,5,English
2025-12-10,0.17128516733646393,4,English
2025-12-13,0.17236578038760594,7,English
2025-12-14,0.6071052125522068,7,English
2025-12-15,0.4722291946411133,5,English
2025-12-16,0.5912719219923019,4,English
2025-12-17,0.7947638183832169,8,English
2025-12-18,0.0,1,English
2025-12-19,0.36829930543899536,2,English
2025-12-20,0.3267554998397827,5,English
2025-12-21,0.6138232265199933,7,English
2025-12-22,0.7358161012331644,6,English
2025-12-23,0.42538503805796307,6,English
2025-12-24,0.4995103677113851,6,English
2025-12-27,0.11508316132757399,9,English
2025-12-28,0.48532725042766994,9,English
2025-12-29,0.6650319695472717,4,English
2025-12-30,0.7704532444477081,4,English
2025-12-31,0.9166582226753236,1,English
2026-01-02,0.7575828433036804,1,English
2026-01-03,0.020464152097702026,6,English
2026-01-04,0.18618419021368027,8,English
2025-12-07,0.02666666666666667,75,Arabic
2025-12-08,0.09090909090909091,77,Arabic
2025-12-09,0.06896551724137931,87,Arabic
2025-12-10,-0.011111111111111112,90,Arabic
2025-12-11,0.02857142857142857,105,Arabic
2025-12-12,-0.05970149253731343,67,Arabic
2025-12-13,0.08823529411764706,68,Arabic
2025-12-14,0.0970873786407767,103,Arabic
2025-12-15,-0.021739130434782608,92,Arabic
2025-12-16,0.08653846153846154,104,Arabic
2025-12-17,0.07142857142857142,70,Arabic
2025-12-18,0.09230769230769231,65,Arabic
2025-12-19,0.014084507042253521,71,Arabic
2025-12-20,0.08,75,Arabic
2025-12-21,0.03260869565217391,92,Arabic
2025-12-22,0.06097560975609756,82,Arabic
2025-12-23,0.05555555555555555,90,Arabic
2025-12-24,0.15384615384615385,91,Arabic
2025-12-25,0.02666666666666667,75,Arabic
2025-12-26,0.0684931506849315,73,Arabic
2025-12-27,0.058823529411764705,68,Arabic
2025-12-28,0.14634146341463414,82,Arabic
2025-12-29,0.11475409836065574,61,Arabic
2025-12-30,0.07777777777777778,90,Arabic
2025-12-31,0.1595744680851064,94,Arabic
2026-01-01,0.14864864864864866,74,Arabic
2026-01-02,0.029411764705882353,68,Arabic
2026-01-03,0.1774193548387097,62,Arabic
2026-01-04,0.08571428571428572,70,Arabic
2026-01-05,-0.039603960396039604,101,Arabic
2026-01-06,0.030303030303030304,33,Arabic
